综合练习题
（一）、单项或多项选择题（单项选择只有一个选项是正确的，多项选择不只有一个正确选项）

1、单选 搜索引擎营销中，营销是？

试题 1
属于马斯洛需要层次理论的是 （ ）
选择一项：
a. 安全需要
b. 未来需要
c. 身心需要
d. 自我感觉需要
正确答案是：安全需要

试题 2
产生无效点击的主要原因有来自竞争对手的恶意点击、广告与（）结果混淆而导致的无效点击。
正确答案是：自然搜索

试题 3
搜索引擎营销属于经营中的那个环节（　）
选择一项：
a. 定价
b. 产品策略
c. 营销沟通
d. 渠道
正确答案是：营销沟通

试题 4
当前，大数据产业发展的特点是（）

选择一项或多项：
a. 增速很快
b. 增速缓慢
c. 规模较大
d. 多产业交叉融合
正确答案是：规模较大, 增速很快, 多产业交叉融合

试题 5
搜索引擎最基本的工作就是搜索引擎（）。
正确答案是：收录页面

试题 6
搜索引擎分析器的功能是理解搜索器所搜索到的信息，从中抽取索引项，用于表示文档以及文档库的索引表。
选择一项：
对
错
正确答案是“错”。

试题 7
4C理论是（）提出的 。
正确答案是：罗伯特

试题 8
决定卖什么这一环节叫做产品的（）
选择一项：
a. 定位
b. 市场细分
c. 渠道
d. 市场目标
正确答案是：定位

试题 9
搜索引擎用户接口的功能是根据用户的查询在索引库中快速检索文档，进行相关度评价，对将要输出的结果排序，并能按用户的查询需求合理反馈信息。
选择一项：
对
错
正确答案是“错”。

试题 10
STP中的T指的是（）。
正确答案是：目标市场

试题 1
随着参与统一关键字广告投放的网站（），每一点击所产生的费用也会变得越来越高。
正确答案是：增多

试题 2
以关键字广告方式开展搜索引擎营销，（），见效快。
正确答案是：费用低

试题 3
从消费者出发（）能直接影响消费者的行为
选择一项：
a. 感觉
b. 感官
c. 感受
d. 感知
正确答案是：感知

试题 4
营销是通过改变人类的（）来改变人们的行为
选择一项：
a. 感觉
b. 认知
c. 意识
d. 认识
正确答案是：认知

试题 5
属于马斯洛需要层次理论的是 （ ）
选择一项：
a. 安全需要
b. 自我感觉需要
c. 未来需要
d. 身心需要
正确答案是：安全需要

试题 6
转换率是直接影响销售的指标，也是营销者追求的一个指标。
选择一项：
对
错
正确答案是“对”。

试题 7
消费者网上购物行为的外界影响因素有产品特性、价格因素、便捷性和安全可靠性。
选择一项：
对
错
正确答案是“对”。

试题 8
搜索引擎登录营销方式一般需要人工审核，审核后的几天或几周后才会显示收录信息。
选择一项：
对
错
正确答案是“对”。

试题 9
在搜索引擎营销的目标层次中，（）是两个高层次的目标。
选择一项或多项：
a. 增加点击率
b. 访问量
c. 展示量
d. 将访问量转化为收益
正确答案是：增加点击率, 将访问量转化为收益

试题 10
直接面向消费者进行销售叫做（）
选择一项：
a. 销售
b. 直销
c. 促销
d. 营销
正确答案是：营销

试题 1
马斯洛需要层次论中最底层的是 （　）
选择一项：
a. 自尊需要
b. 自我实现需要
c. 安全需要
d. 生理需要
正确答案是：生理需要

试题 2
有购买力的欲望叫做（）。
正确答案是：需求

试题 3
营销的使命是 （ ）
选择一项：
a. 满足于用户的需求
b. 获利
c. 自我实现
d. 品牌
正确答案是：满足于用户的需求

试题 4
搜索引擎营销中，营销是（ ）
选择一项：
a. 过程
b. 目的
c. 结果
d. 环节
正确答案是：目的

试题 5
搜索引擎营销英文缩写是（）。
正确答案是：SEM

试题 6
搜索引擎登录要求的内容一般有（）
选择一项或多项：
a. 关键词
b. 站长联系信息
c. 网站地址
d. 网站的描述
e. 网站名称
正确答案是：网站名称, 网站地址, 关键词, 网站的描述, 站长联系信息

试题 7
消费者网上购物行为影响的心理因素包括个性消费回归、主动消费和求新的心理需求。
选择一项：
对
错
正确答案是“对”。

试题 8
网络消费者的购买过程先后顺序为：信息搜索，比较选择，购买决策，需求的诱发，购后评价。
选择一项：
对
错
正确答案是“错”。

试题 9
词频统计法，指网页文档中出现查询词的频率越高，则其排序就越靠前。
选择一项：
对
错
正确答案是“对”。

试题 10
一些消费者看重商品和服务的时尚，新颖，起义等特点，希望购买的产品或服务区别于大众，这是一种求新的心理需求。
选择一项：
对
错
正确答案是“对”。

试题 1
随着参与统一关键字广告投放的网站增多，每一点击所产生的费用也会变得越来（）。
正确答案是：越高

试题 2
满足于用户的需求是营销的（）。
正确答案是：使命

试题 3
属于营销的是 （　）
选择一项：
a. 神经营销
b. 精神营销
c. 核磁营销
d. 网络营销
正确答案是：网络营销

试题 4
以关键字广告方式开展搜索引擎营销，费用低，（）。
正确答案是：见效快

试题 5
搜索引擎营销中搜索引擎是（）
选择一项：
a. 目的
b. 过程
c. 工具
d. 结果
正确答案是：工具

试题 6
搜索引擎分析器的作用是接收用户查询、显示查询结果、提供个性化查询项。
选择一项：
对
错
正确答案是“错”。

试题 7
STP属于企业中营销的（）决策
选择一项：
a. 战术
b. 战略
c. 中期
d. 短期
正确答案是：战略

试题 8
搜索引擎索引器的功能是理解搜索器所搜索到的信息，从中抽取索引项，用于表示文档以及文档库的索引表。
选择一项：
对
错
正确答案是“对”。

试题 9
script指令有两种，一种是基于浏览器端的，一种是基于（）端的。
正确答案是：服务器

试题 10
绝大部分超链分析算法都有共同的出发点，就是更多的被其他的页面链接的页面是质量更好的页面，并且从更重要的页面出发的链接有更大的权重。
选择一项：
对
错
正确答案是“对”。

试题 6
关键词广告一般采用点击付费（CPC）计价，费用可控。
选择一项：
对 
错
正确答案是“对”。



单元测验2

试题 1
竞价广告通过设置广告投放地域和投放时间，可以将推广信息精准的覆盖到特定地区、特定时段的用户，大大提高了营销效果。
选择一项：
对
错
正确答案是“对”。

试题 2
一个完整的元搜索引擎由三部分组成，即（）提交机制、检索接口代理机制、检索结果显示机制。

正确答案是：检索请求

试题 3
广告有可能提升用户的（）价值
选择一项：
a. 感官
b. 感想
c. 认识
d. 感知
正确答案是：感知

试题 4
销售促进这种方式称为（）
选择一项：
a. 销售
b. 促销
c. 直销
d. 经销
正确答案是：促销

试题 5
基于服务器端的script可以被搜索引擎执行。
选择一项：
对
错
正确答案是“对”。

试题 6
搜索引擎营销的基础是企业网络营销信息。
选择一项：
对
错
正确答案是“对”。

试题 7
如果将一个网站比如成一本书，那么前言或简介就相当于（）的描述
正确答案是：首页

试题 8
百度凤巢系统前身叫做彩蛋
选择一项：
a. 百度搜索引擎系统
b. 百度十分系统
c. 百度推广系统
d. 百度沙盒系统
正确答案是：百度十分系统

试题 9
网站与外部网站建立链接关系，使搜索引擎通过外部网站发现该网站可以将网站加入到搜索引擎域名列表中。
选择一项：
对
错
正确答案是“对”。

试题 10
基于浏览器端的script可以被搜索引擎执行 。
选择一项：
对
错
正确答案是“错”。

试题 1
采用分类目录搜索引擎收录的网站质量一般比较高，但是这种方式的可扩展性不强，绝大部分网站不能被收录。
选择一项：
对
错
正确答案是“对”。

试题 2
网页级别中0是最低级别
选择一项：
对
错
正确答案是“对”。

试题 3
有关营销沟通基本要素的知识是 彩蛋
选择一项：
a. UEO
b. SEM
c. SEO
d. 5W1H
正确答案是：5W1H

试题 4
下列关于脏数据的说法中，正确的是（）。
选择一项或多项：
a. 与实际业务关系不大
b. 编码不统一
c. 格式不规范
d. 意义不明确
正确答案是：格式不规范, 编码不统一, 意义不明确, 与实际业务关系不大

试题 5
用户记不住域名产生的搜索叫做彩蛋
选择一项：
a. 信息检索型搜索
b. 导航型搜索
c. 模糊搜索
d. 交易型搜索
正确答案是：导航型搜索

试题 6
按字检索是指对文章中的词，即语义单位建立索引，检索时按词检索，并且可以处理同义项等
选择一项：
对
错
正确答案是“错”。

试题 7
目录搜索引擎指的是以人工或半自动的方式搜集信息，由编辑人员查看信息后，人工进行信息摘要，并将信息置于事先确定的分类框架中。
选择一项：
对
错
正确答案是“对”。

试题 8
为了达到某种交易产生的搜索称为 彩蛋
选择一项：
a. 交易型搜索
b. 交易搜索
c. 信息检索型搜索
d. 导航型搜索
正确答案是：交易型搜索

试题 9
网页A和网页B都没有导入链接情况下，网页A链接到网页B，那么网页B级别比网页A高。
选择一项：
对
错
正确答案是“对”。

试题 10
搜索引擎营销是基于（）平台而开展的网络营销。
正确答案是：搜索引擎

试题 1
搜索引擎的收费服务模式有付费收录、（）、点击收费。

正确答案是：付费排名

试题 2
如果PR条当中完全是灰色的，那么网页还没被收录，或者被惩罚，或已被删除。
选择一项：
对
错
正确答案是“对”。

试题 3
网页A和网页B都没有导入链接情况下，网页A链接到网页B，那么网页B级别比网页A重要。
选择一项：
对
错
正确答案是“对”。

试题 4
企业想要获得更多的流量，就需要及时地把握潜在受众搜索行为，用准确的关键词和新颖创意吸引更多的目标用户。
选择一项：
对
错
正确答案是“对”。

试题 5
网页级别中0是最高级别
选择一项：
对
错
正确答案是“错”。

试题 6
数据再利用的意义在于（）。
选择一项或多项：
a. 挖掘数据的潜在价值
b. 实现数据重组的创新价值
c. 利用数据可扩展性拓宽业务领域
d. 提高社会效益，优化社会管理
正确答案是：挖掘数据的潜在价值, 实现数据重组的创新价值, 利用数据可扩展性拓宽业务领域

试题 7
网页级别是以网页为单位的
选择一项：
对
错
正确答案是“对”。

试题 8
百度搜索不仅是国内最大的搜索引擎，也是全球用户最多的搜索引擎。
选择一项：
对
错
正确答案是“错”。

试题 9
关键词广告是指显示在搜索引擎结果页面的网站链接广告，它属于CPC收费制。
选择一项：
对
错
正确答案是“对”。

试题 10
（）就是通过URL抓取到页面的。
正确答案是：搜索引擎蜘蛛程序

试题 1
（）严重影响了用户体验，百度目前已经放弃了竞价排名的广告方式
正确答案是：竞价排名

试题 2
企业开展竞价推广的最终目的就是将广告信息推广出去。
选择一项：
对
错
正确答案是“错”。

试题 3
百度搜索是全球首个第三代互动式中文搜索引擎。
选择一项：
对
错
正确答案是“错”。

试题 4
全文搜索引擎是目前应用最广泛的搜索引擎
选择一项：
对
错
正确答案是“对”。

试题 5
搜索引擎优化涉及的内容较多，主要包括（）。
选择一项或多项：
a. 内容优化
b. 代码优化
c. 关键词优化
d. 外部链接优化
正确答案是：关键词优化, 外部链接优化, 代码优化, 内容优化

试题 6
百度推广排名位置主要由百度综合排名指数决定，其计算公式为百度综合排名指数=（）。
正确答案是：关键词质量度×出价（竞价价格）

试题 7
竞价广告可以灵活控制广告预算，因此特别适合中小企业使用 。
选择一项：
对
错
正确答案是“对”。

试题 8
网站页面内容经常更新，蜘蛛就会很频繁的访问页面。
选择一项：
对
错
正确答案是“对”。

试题 9
得到高评价的重要页面会被给予较高的PR值。
选择一项：
对
错
正确答案是“对”。

试题 10
综合排名指数等于（）乘以（）
选择一项：
a. 出价；质量度
b. 百度十分系统；关键词
c. 满意度；出价
d. 关键词；质量度
正确答案是：出价；质量度

试题 1
如果将一个网站比如成一本书，那么（）就相当于图书的责任编辑。
正确答案是：搜索引擎优化者

试题 2
网络营销信息源包括（）和{=外部信息源}，两者都可利用搜索引擎实现信息传递。
正确答案是：内部信息源

试题 3
搜索引擎营销是利用用户使用搜索引擎检索信息的机会尽可能将营销信息传递给所有网民。
选择一项：
对
错
正确答案是“错”。

试题 4
搜索引擎虽然是开放性平台，但是企业想要在搜索引擎上推广宣传还是要符合一定的条件。
选择一项：
对
错
正确答案是“错”。

试题 5
竞价排名服务是有客户为自己的网页购买关键字排名，按点击付费的一种服务
选择一项：
对
错
正确答案是“对”。

试题 6
出价是指企业愿意为所购买的关键词给出的最高点击价格，也是系统实际收取的点击价格。
选择一项：
对
错
正确答案是“错”。

试题 7
竞价推广作为一种付费广告，企业广告排名位置主要由广告出价和关键词质量度决定。
选择一项：
对
错
正确答案是“对”。

试题 8
（）是指搜索引擎抓取页面时所使用的策略。
正确答案是：页面收录方式

试题 9
百度是国际搜索引擎中市场份额中最大的中文搜索引擎。
选择一项：
对
错
正确答案是“对”。

试题 10
搜索引擎收录页面时，主要有（）、深度优先、用户提交方式
正确答案是：广度优先

试题 1
PPC是英文Pay Per Click的缩写形式，它的意思就是（）。
正确答案是：点击付费广告

试题 2
百度搜索和360搜索左侧推广位广告最多可以显示5条广告。
选择一项：
对
错
正确答案是“错”。

试题 3
目前的搜索引擎大都可以归入第四代，即以理解用户需求为核心
选择一项：
对
错
正确答案是“对”。

试题 4
出价是影响关键词排名的重要因素，在其他因素不变的情况下，价格越高，越有机会获得较高的排名。
选择一项：
对
错
正确答案是“对”。

试题 5
竞价推广和SEO一样，想要做出好的推广效果，都需要较强的技术应用能力。
选择一项：
对
错
正确答案是“错”。

试题 6
搜索引擎蜘蛛的爬取策略包括（）。
选择一项或多项：
a. 广度优先搜索
b. 广度搜索
c. 深度优先搜索
d. 深度搜索
正确答案是：深度优先搜索, 广度优先搜索

试题 7
（）时代也可以称为“导航时代”，Yahoo和国内的hao123是这个时代的代表。
正确答案是：分类目录

试题 8
关键字广告中广告与自然搜索结果混淆会导致无效点击，因此每个搜索引擎都会把竞价排名与自热结果进行区分。
选择一项：
对
错
正确答案是“对”。

试题 9
搜索引擎主要可以分为三类，分别为（）、目录搜索引擎和元搜索引擎。

正确答案是：全文搜索引擎

试题 10
网站优化是从用户体验和完善网站功能出发对网站进行的优化。
选择一项：
对
错
正确答案是“对”。

试题 1
利用外链接方法实现网站加入到搜索引擎域名列表中大约需要2-7天。
选择一项：
对
错
正确答案是“对”。

试题 2
企业竞价推广在获取咨询阶段，最主要的工作就是提高网站客服服务水平。
选择一项：
对
错
正确答案是“错”。

试题 3
如果PR条当中完全是灰色的，那么可能是如下（ ）情况造成的。
选择一项或多项：
a. 网页还没被收录
b. 网页级别是10
c. 网页被删除
d. 网页被惩罚
正确答案是：网页还没被收录, 网页被惩罚, 网页被删除

试题 4
搜索引擎优化是从搜索引擎友好性出发对网站进行的优化。
选择一项：
对
错
正确答案是“对”。

试题 5
在整个点击价格系统中，企业可以通过控制出价和关键词质量度调整广告排名。
选择一项：
对
错
正确答案是“错”。

试题 6
经过经销商等面对消费者的销售叫做 彩蛋
选择一项：
a. 销售
b. 促销
c. 营销
d. 直销
正确答案是：直销

试题 7
（）是页面的入口
正确答案是：URL

试题 8
利用搜索引擎提供的网站登录入口，想搜索引擎提交网站域名，可以将网站加入到搜索引擎域名列表中。
选择一项：
对
错
正确答案是“对”。

试题 9
市场调查主要是为了调查竞争对手在做什么。
选择一项：
对
错
正确答案是“错”。

试题 10
深度优先搜索是指蜘蛛在一个页面上发现多个链接时，不是顺着一个链接一直向前，而是把页面上所有的第一层搜爬一遍，然后再沿着第二层页面上发现的链接爬向第三层链接。
选择一项：
对
错
正确答案是“错”。

试题 1
搜索引擎建立的地址库中，URL主要来源于（ ）方面。
选择一项或多项：
a. 站长通过XML网站地图、站长平台提交的网址
b. 站长通过搜索引擎页面提交进去的网址
c. 蜘蛛抓取页面后，从HTML中解析出新的链接URL，与地址库中的数据新型对比，如果地址库中没有的网址，就存入待访问地址库
d. 人工录入的种子网站
正确答案是：人工录入的种子网站, 站长通过搜索引擎页面提交进去的网址, 站长通过XML网站地图、站长平台提交的网址, 蜘蛛抓取页面后，从HTML中解析出新的链接URL，与地址库中的数据新型对比，如果地址库中没有的网址，就存入待访问地址库

试题 2
下列选项中，关于竞价推广优势的说法正确的是（）。

选择一项或多项：
a. 竞价推广见效慢
b. 准确定位，精准投放
c. 竞价广告可以实时查看广告效果
d. 广告预算控制灵活方便
正确答案是：竞价广告可以实时查看广告效果, 广告预算控制灵活方便, 准确定位，精准投放

试题 3
网页级别中10是最高级别
选择一项：
对
错
正确答案是“对”。

试题 4
百度搜索引擎营销后台称为（）。
正确答案是：百度凤巢系统

试题 5
搜索引擎营销服务的方式主要有4中，分别是（）、购买广告词、搜索引擎优化和PPC。

正确答案是：竞价排名

试题 6
竞价广告展现的结果中带有广告字样，而SEO自然搜索展现结果中带有快照字样。
选择一项：
对
错
正确答案是“对”。

试题 7
关键字广告的搜索引擎营销方式，时效仅存在付费推广期间。
选择一项：
对
错
正确答案是“对”。

试题 8
全文搜索引擎搜索方法主要分为（）和按词检索两种。
正确答案是：按字检索

试题 9
PR值就是网页等级的值
选择一项：
对
错
正确答案是“对”。

试题 10
PR值为5被认为是不错的网页级别。
选择一项：
对
错
正确答案是“对”。

试题 1
搜索引擎收录页面时，主要有广度优先、（）、用户提交方式
正确答案是：深度优先

试题 2
（）是目前应用最广泛的搜索引擎。
正确答案是：全文搜索引擎

试题 3
关键字广告中竞争对手的恶意点击会产生无效点击。
选择一项：
对
错
正确答案是“对”。

试题 4
下列选项中，关于竞价推广营销基本思维的说法正确的是（）。
选择一项或多项：
a. 形成转化
b. 进行咨询
c. 获取流量
d. 吸引关注
正确答案是：进行咨询, 形成转化, 吸引关注

试题 5
搜索引擎在互联网中抓取页面的首页任务就是建立一个庞大的域名列表。
选择一项：
对
错
正确答案是“对”。

试题 6
在同一出价情况下，关键词质量度越低，网站广告信息排名越靠前。
选择一项：
对
错
正确答案是“错”。

试题 7
文本检索时代，当用户输入查询的请求时，会因为时间和场合不同而得到不同的搜索结果。
选择一项：
对
错
正确答案是“错”。

试题 8
提高PR的方法（ ）
选择一项或多项：
a. 增加内部链接数
b. 反向链接来自推荐度高的页面
c. 提高反向链接源页面的链接数
d. 提高反向链接数
正确答案是：提高反向链接数, 反向链接来自推荐度高的页面, 提高反向链接源页面的链接数

试题 9
经过经销商等面对消费者的销售叫做（）。
正确答案是：直销

试题 10
网页的导入链接越多，那么网页的级别就越高
选择一项：
对
错
正确答案是“对”。

试题 1
一个完整的搜索引擎的组成部分包括（）。
选择一项或多项：
a. 检索结果显示机制
b. 检索需求提交机制
c. 检索接口代理机制
d. 检索请求提交机制
正确答案是：检索请求提交机制, 检索接口代理机制, 检索结果显示机制

试题 2
购物是一个（）的过程
选择一项：
a. 比较
b. 对比
c. 决策
d. 思考
正确答案是：决策

试题 3
百度搜索引擎营销后台称为 彩蛋
选择一项：
a. 百度凤巢系统
b. 百度搜索引擎系统
c. 百度蜂巢系统
d. 百度推广系统
正确答案是：百度凤巢系统

试题 4
（）是指以竞价的方式拍卖搜索结果排名的行为。
正确答案是：竞价排名

试题 5
下列选项中，属于影响账户关键词质量度的因素有（）。
选择一项或多项：
a. 出价价格
b. 点击率
c. 创意内容和关键词相关性
d. 着陆页体验
正确答案是：点击率, 着陆页体验, 创意内容和关键词相关性

试题 6
企业广告信息排名靠前，只是增加了广告展现的机会，想要吸引潜在受众点击广告，还需要及时把握受众搜索行为，这样才能提高广告点击率。
选择一项：
对
错
正确答案是“对”。

试题 7
搜索引擎优化前提是要找准关键词，优化时针对那些很少有人查找的关键词进行优化比较浪费时间。
选择一项：
对
错
正确答案是“对”。

试题 8
搜索引擎是指为用户提供检索服务，将用户检索相关的信息展示给用户的系统
选择一项：
对
错
正确答案是“对”。

试题 9
如果将一个网站比如成一本书，那么图书的名称就相当于（）的名称
正确答案是：网站

试题 10
下列选项中，关于竞价推广与SEO之间区别的说法正确的是（）。
选择一项或多项：
a. 竞价推广见效快，SEO排名稳定
b. 竞价推广费用高，SEO成本低
c. 竞价推广和SEO广告展现形式不同
d. 竞价推广效果好，SEO效果差
正确答案是：竞价推广和SEO广告展现形式不同, 竞价推广费用高，SEO成本低, 竞价推广见效快，SEO排名稳定

试题 1
PR值大于7很困难
选择一项：
对
错
正确答案是“对”。

试题 2
竞价推广适合企业长期推广策略，短期内适用SEO推广策略。
选择一项：
对
错
正确答案是“错”。

试题 3
一般情况下，如果账户关键词的出价低于最低展现价格，关键词状态将显示为（）而无法获得展现机会。
正确答案是：搜索无效

试题 4
搜索引擎收录页面时都是从网站首页开始的。
选择一项：
对
错
正确答案是“对”。

试题 5
网页级别中10是最低级别
选择一项：
对
错
正确答案是“错”。

试题 6
用户对某些信息产生的搜索称为彩蛋
选择一项：
a. 精准搜索
b. 导航型搜索
c. 信息检索型搜索
d. 交易型搜索
正确答案是：信息检索型搜索

试题 7
目前，只有搜狗搜索可以提供8个右侧推广链接广告，而百度搜索和360搜索都取消了右侧的推广链接。
选择一项：
对
错
正确答案是“对”。

试题 8
（）是网站的入口
正确答案是：域名

试题 9
评价信息能否满足网民搜索需求的指数叫做彩蛋
选择一项：
a. 满意度
b. 质量满意度
c. 质量度
d. 搜索指数
正确答案是：质量度

试题 10
360搜索属于元搜索引擎。
选择一项：
对
错
正确答案是“对”。

试题 1
PR值高的页面在检索结果内的名次也高。
选择一项：
对
错
正确答案是“对”。

试题 2
国内搜索引擎市场份额最大的搜索引擎是Google。
选择一项：
对
错
正确答案是“错”。

试题 3
（）在基于搜索引擎提供的广告平台上投放的广告。
正确答案是：关键字广告

试题 4
下列选项中，对搜索引擎发展时代描述正确的是（）。
选择一项或多项：
a. 第四代搜索引擎：用户中心时代
b. 第一代搜索引擎：分类目录时代
c. 第二代搜索引擎：链接分析时代
d. 第三代搜索引擎：文本检索时代
正确答案是：第一代搜索引擎：分类目录时代, 第四代搜索引擎：用户中心时代

试题 5
如果把搜索引擎比作"布满脚印的雪地”那么脚印就是 彩蛋
选择一项：
a. 网页
b. 点击率
c. 关键词
d. 数据
正确答案是：数据

试题 6
网页级别是以整个网站为单位的
选择一项：
对
错
正确答案是“错”。

试题 7
（）指的是搜索结果首页左侧无底色的推广位置。
正确答案是：左侧推广位

试题 8
目前，百度搜索和搜狗搜索最多可以展现4条推广链接广告。
选择一项：
对
错
正确答案是“错”。

试题 9
Query是搜索引擎中的 彩蛋
选择一项：
a. 词语
b. 着陆页
c. 创意
d. 关键词
正确答案是：关键词

试题 10
搜索引擎营销收费服务的优点就是结果明确、见效速度快。
选择一项：
对
错
正确答案是“对”。

试题 1
推广点击价格计算公式为推广点击价格=（）。
正确答案是：（下一名出价×下一名质量度）÷关键词质量度+0.01

试题 2
（）收录页面实际上就是在互联网上进行数据采集。
正确答案是：搜索引擎

试题 3
关键词质量度得分越高，表示推广系统认为企业主的推广结果和着陆页与网民搜索的相关性较高
选择一项：
对
错
正确答案是“对”。

试题 4
SEO就是搜索引擎广告。
选择一项：
对
错
正确答案是“错”。

试题 5
如果PR条当中完全是白色的，那么网页级别是 0
选择一项：
对
错
正确答案是“对”。

试题 6
百度凤巢系统前身叫做（）。
正确答案是：百度十分系统

试题 7
中文分词有两种方法，一种是基于词典匹配分词法，另一种是基于统计分词法。
选择一项：
对
错
正确答案是“对”。

试题 8
刚提交的新的关键词时，一般都会有临时质量度。
选择一项：
对
错
正确答案是“对”。

试题 9
质量度是由哪些因素决定的彩蛋
选择一项：
a. 关键词
b. 网页
c. 质量度
d. 关键词点击率
正确答案是：关键词点击率

试题 10
搜索引擎营销的基本流程中，第一步要做的是市场调查。
选择一项：
对
错
正确答案是“错”。

试题 1
搜索引擎收录页面时，主要有广度优先、深度优先、（）
正确答案是：用户提交方式

试题 2
如果把互联网比如为一个巨大的图书馆，那么（）是图书管理员。
正确答案是：搜索引擎

试题 3
下列选项中，属于影响账户关键词质量度的因素有（）。
选择一项或多项：
a. 着陆页体验
b. 点击率
c. 出价价格
d. 创意内容和关键词相关性
正确答案是：点击率, 着陆页体验, 创意内容和关键词相关性

试题 4
（）在基于搜索引擎提供的广告平台上投放的广告。
正确答案是：关键字广告

试题 5
网站页面内容经常更新，蜘蛛就会很频繁的访问页面。
选择一项：
对
错
正确答案是“对”。

试题 6
百度搜索引擎营销后台称为 彩蛋
选择一项：
a. 百度推广系统
b. 百度搜索引擎系统
c. 百度凤巢系统
d. 百度蜂巢系统
正确答案是：百度凤巢系统

试题 7
市场调查主要是为了调查竞争对手在做什么。
选择一项：
对
错
正确答案是“错”。

试题 8
目前的搜索引擎大都可以归入第四代，即以理解用户需求为核心
选择一项：
对
错
正确答案是“对”。

试题 9
关键字广告的搜索引擎营销方式，时效仅存在付费推广期间。
选择一项：
对
错
正确答案是“对”。

试题 10
如果将一个网站比如成一本书，那么前言或简介就相当于（）的描述
正确答案是：首页



单元测验3

试题 1
在推广账户中，关键词质量度以星级形式呈现，质量度采用（），0分词没有展现资格，1分词左侧展现机会较低。
正确答案是：10分制

试题 2
每个title合理的突出::判断题::~2个关键词，不超过30个汉字。
选择一项：
对
错
正确答案是“对”。

试题 3
在广告创意中添加网址是一种撰写技巧。
选择一项：
对
错
正确答案是“错”。

试题 4
不属于戴明环的是 彩蛋
选择一项：
a. 执行
b. 优化
c. 计划
d. 完成
正确答案是：完成

试题 5
域名中单词的区隔用中横线而不要用下划线。
选择一项：
对
错
正确答案是“对”。

试题 6
下列选项中，属于常见关键词拓展方法的是（）。
选择一项或多项：
a. 人群词工具拓展
b. 搜索词报告拓展
c. 关键词规划师搜索
d. 八爪鱼自由组合
正确答案是：关键词规划师搜索, 八爪鱼自由组合, 搜索词报告拓展

试题 7
关键词与搜索词完全一致的匹配方式叫做（）。
正确答案是：精确匹配

试题 8
搜索量一般少于点击量。
选择一项：
对
错
正确答案是“错”。

试题 9
每个网页中的关键词密度要尽量控制在3%-8%之间。
选择一项：
对
错
正确答案是“对”。

试题 10
拓展关键词还可以根据核心词的别称、俗称、简称以及缩写等来拓展关键词
选择一项：
对
错
正确答案是“错”。

试题 1
推广人员在添加关键词时，不用关键词规划师也可以直接添加关键词。
选择一项：
对
错
正确答案是“错”。

试题 2
（）关键词,当且仅当网民的搜索词与精确否定关键词完全一致时，推广结果将不会展现。
正确答案是：精确否定

试题 3
竞价广告创意在左侧推广位上只展现描述1的内容，不展现描述2的内容。
选择一项：
对
错
正确答案是“错”。

试题 4
常见的网盟账户数据监控方法有两种，分别为账户数据报告和（）。
正确答案是：百度统计

试题 5
通常来说，网盟账户结构可以按照产品、网站、（）、推广地域等来搭建账户。 

正确答案是：推广物料

试题 6
经营价值包括（）和销售。
正确答案是：品牌

试题 7
创意只能针对（）去撰写
选择一项：
a. 着陆页
b. 单元
c. 短语
d. 关键词
正确答案是：单元

试题 8
戴明环的发明者戴明是哪国人彩蛋
选择一项：
a. 美国
b. 意大利
c. 日本
d. 中国
正确答案是：日本

试题 9
每个网页中的关键词都要不同。
选择一项：
对
错
正确答案是“对”。

试题 10
通常来说，影响账户关键词质量度的因素主要有（）、创意内容和关键词的相关性 、着陆页体验。
正确答案是：点击率

试题 1
客户价值，就是客户搜索某个关键词来到网页，能否从该网页获取到有价值的信息。
选择一项：
对
错
正确答案是“对”。

试题 2
投放地域可以精确到（）级别
选择一项：
a. 地级市
b. 省
c. 市
d. 乡
正确答案是：地级市

试题 3
下列选项中，哪些属于常见的拓展关键词的方法（）。
选择一项或多项：
a. 根据考核方法，筛选关键词
b. 利用关键词挖掘工具筛选
c. 根据搜索词报告筛选关键词
d. 根据营销目标和预算，筛选关键词
正确答案是：根据考核方法，筛选关键词, 根据营销目标和预算，筛选关键词

试题 4
（），也叫搜索引擎推广、竞价广告，是把企业的产品或服务以关键词的形式在搜索引擎平台上推广的一种按效果付费的新型广告。
正确答案是：搜索引擎竞价推广

试题 5
咨询组件是线索通提供的沟通工具，网民点击咨询按钮后会跳转至企业在线聊天页面，直接与客服进行沟通
选择一项：
对
错
正确答案是“对”。

试题 6
通常来说，一般账户中占比较大的是品牌词，在60%以上。
选择一项：
对
错
正确答案是“错”。

试题 7
建站准备主要是寻找一家提供服务器托管服务、虚拟主机租用、域名注册服务公司或机构。
选择一项：
对
错
正确答案是“对”。

试题 8
按照涉及自变量的多少，可以将回归分析分为 （）。
选择一项或多项：
a. 线性回归分析
b. 一元回归分析
c. 多元回归分析
d. 非线性回归分析
正确答案是：一元回归分析, 多元回归分析

试题 9
网盟受众组合工具支持创建4种类型人群，即（）、关键词组合、兴趣组合、高级组合。
正确答案是：到访人群

试题 10
